#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         602    -5.66133    -5.53201  0.00642279
         603    -5.62756    -5.53217   0.0064141
         604     -5.5957    -5.53227  0.00640434
         605    -5.57027    -5.53234  0.00639406
         606    -5.53104    -5.53233  0.00638351
         607    -5.49952    -5.53228  0.00637322
         608    -5.47491    -5.53219  0.00636344
         609     -5.4871    -5.53211  0.00635342
         610    -5.41129    -5.53191  0.00634609
         611    -5.35634    -5.53163  0.00634221
         612    -5.40942    -5.53143  0.00633499
         613    -5.48309    -5.53135  0.00632514
         614    -5.49584    -5.53129  0.00631511
         615    -5.35962    -5.53101    0.006311
         616    -5.44198    -5.53087  0.00630241
         617    -5.41157    -5.53067  0.00629516
         618    -5.50973    -5.53064  0.00628507
         619     -5.4511    -5.53051  0.00627623
         620    -5.42451    -5.53034  0.00626843
         621    -5.40098    -5.53013   0.0062618
         622    -5.41209    -5.52994  0.00625461
         623    -5.37281    -5.52969  0.00624965
         624    -5.37585    -5.52944   0.0062445
         625      -5.458    -5.52933  0.00623555
         626    -5.48015    -5.52925  0.00622609
         627    -5.47489    -5.52916  0.00621676
         628       -5.47    -5.52907  0.00620757
         629    -5.55567    -5.52911  0.00619785
         630    -5.56965    -5.52918  0.00618835
         631    -5.51927    -5.52916  0.00617856
         632    -5.55177     -5.5292  0.00616889
         633    -5.57557    -5.52927  0.00615958
         634    -5.56481    -5.52933  0.00615011
         635     -5.5169    -5.52931  0.00614046
         636    -5.51253    -5.52928  0.00613086
         637    -5.48988    -5.52922  0.00612155
         638    -5.41712    -5.52904  0.00611448
         639    -5.41849    -5.52887  0.00610735
         640    -5.49404    -5.52881  0.00609805
         641    -5.43385    -5.52867  0.00609034
         642     -5.4363    -5.52852  0.00608255
         643     -5.4396    -5.52838  0.00607466
         644    -5.49761    -5.52834  0.00606542
         645    -5.48021    -5.52826  0.00605648
         646    -5.56243    -5.52832  0.00604733
         647    -5.60735    -5.52844  0.00603922
         648    -5.62685    -5.52859  0.00603181
         649    -5.67281    -5.52881  0.00602661
         650     -5.5892     -5.5289  0.00601805
         651    -5.60301    -5.52902  0.00600988
         652    -5.48333    -5.52895  0.00600107
         653    -5.51699    -5.52893  0.00599191
         654    -5.43611    -5.52879  0.00598443
         655    -5.35896    -5.52853  0.00598091
         656    -5.47577    -5.52845  0.00597233
         657    -5.49413     -5.5284  0.00596347
